fullName,parkRoot
El Morro National Monument,El Morro
Eleanor Roosevelt National Historic Site,Eleanor Roosevelt
Ellis Island Part of Statue of Liberty National Monument,Ellis Island
Emmett Till and Mamie Till-Mobley National Monument,Emmett Till
Eugene O'Neill National Historic Site,Eugene O'Neill
Everglades National Park,Everglades
Federal Hall National Memorial,Federal Hall
Fire Island National Seashore,Fire Island
First Ladies National Historic Site,First Ladies
First State National Historical Park,First State
Flight 93 National Memorial,Flight 93
Florissant Fossil Beds National Monument,Florissant Fossil Beds
Ford's Theatre,Ford's Theatre
Fort Bowie National Historic Site,Fort Bowie
Fort Davis National Historic Site,Fort Davis
Fort Donelson National Battlefield,Fort Donelson
Fort Dupont Park,Fort Dupont Park
Fort Foote Park,Fort Foote Park
Fort Frederica National Monument,Fort Frederica
Fort Laramie National Historic Site,Fort Laramie
Fort Larned National Historic Site,Fort Larned
Fort Matanzas National Monument,Fort Matanzas
Fort McHenry National Monument and Historic Shrine,Fort McHenry
Fort Monroe National Monument,Fort Monroe
Fort Necessity National Battlefield,Fort Necessity
Fort Point National Historic Site,Fort Point
Fort Pulaski National Monument,Fort Pulaski
Fort Raleigh National Historic Site,Fort Raleigh
Fort Scott National Historic Site,Fort Scott
Fort Smith National Historic Site,Fort Smith
Fort Stanwix National Monument,Fort Stanwix
Fort Sumter and Fort Moultrie National Historical Park,Fort Sumter and Fort Moultrie
Fort Union National Monument,Fort Union Monument
Fort Union Trading Post National Historic Site,Fort Union Trading Post
Fort Vancouver National Historic Site,Fort Vancouver
Fort Washington Park,Fort Washington Park
Fossil Butte National Monument,Fossil Butte
Franklin Delano Roosevelt Memorial,Franklin Delano Roosevelt Memorial
Frederick Douglass National Historic Site,Frederick Douglass
Frederick Law Olmsted National Historic Site,Frederick Law Olmsted
Fredericksburg & Spotsylvania National Military Park,Fredericksburg
Freedom Riders National Monument,Freedom Riders
Friendship Hill National Historic Site,Friendship Hill
Gates Of The Arctic National Park & Preserve,Gates Of The Arctic
Gateway Arch National Park,Gateway Arch
Gateway National Recreation Area,Gateway
Gauley River National Recreation Area,Gauley River
General Grant National Memorial,General Grant
George Rogers Clark National Historical Park,George Rogers Clark
George Washington Birthplace National Monument,George Washington Birthplace
George Washington Carver National Monument,George Washington Carver
George Washington Memorial Parkway,George Washington Memorial Parkway
Gettysburg National Military Park,Gettysburg
Gila Cliff Dwellings National Monument,Gila Cliff Dwellings
Glacier Bay National Park & Preserve,Glacier Bay
Glacier National Park,Glacier
Glen Canyon National Recreation Area,Glen Canyon
Glen Echo Park,Glen Echo Park
Gloria Dei Church National Historic Site,Gloria Dei Church
Golden Gate National Recreation Area,Golden Gate
Golden Spike National Historical Park,Golden Spike
Governors Island National Monument,Governors Island
Grand Canyon National Park,Grand Canyon
Grand Canyon-Parashant National Monument,Grand Canyon-Parashant
Grand Portage National Monument,Grand Portage
Grand Teton National Park,Grand Teton
Grant-Kohrs Ranch National Historic Site,Grant-Kohrs Ranch
Great Basin National Park,Great Basin
Great Egg Harbor River,Great Egg Harbor River
Great Falls Park,Great Falls Park
Great Sand Dunes National Park & Preserve,Great Sand Dunes
Great Smoky Mountains National Park,Smoky Mountains
Green Springs,Green Springs
Greenbelt Park,Greenbelt Park
Guadalupe Mountains National Park,Guadalupe Mountains
Guilford Courthouse National Military Park,Guilford Courthouse
Gulf Islands National Seashore,Gulf Islands
Hagerman Fossil Beds National Monument,Hagerman Fossil Beds
Haleakalā National Park,Haleakalā
Hamilton Grange National Memorial,Hamilton Grange
Hampton National Historic Site,Hampton
Harmony Hall,Harmony Hall
Harpers Ferry National Historical Park,Harpers Ferry
Harriet Tubman National Historical Park,Harriet Tubman
Harriet Tubman Underground Railroad National Historical Park,Harriet Tubman Underground Railroad
Harry S Truman National Historic Site,Harry S Truman
Hawaiʻi Volcanoes National Park,Hawaiʻi Volcanoes
Herbert Hoover National Historic Site,Herbert Hoover
Historic Jamestowne Part of Colonial National Historical Park,Jamestowne
Home Of Franklin D Roosevelt National Historic Site,Franklin D Roosevelt Home
Homestead National Historical Park,Homestead
Honouliuli National Historic Site,Honouliuli
Hopewell Culture National Historical Park,Hopewell Culture
Hopewell Furnace National Historic Site,Hopewell Furnace
Horseshoe Bend National Military Park,Horseshoe Bend
Hot Springs National Park,Hot Springs
Hovenweep National Monument,Hovenweep
Hubbell Trading Post National Historic Site,Hubbell Trading Post
Ice Age Floods National Geologic Trail,Ice Age Floods
Ice Age National Scenic Trail,Ice Age
Independence National Historical Park,Independence
Indiana Dunes National Park,Indiana Dunes
Isle Royale National Park,Isle Royale
Iñupiat Heritage Center,Iñupiat Heritage Center
James A Garfield National Historic Site,James A Garfield
Jean Lafitte National Historical Park and Preserve,Jean Lafitte
Jewel Cave National Monument,Jewel Cave
Jimmy Carter National Historical Park,Jimmy Carter
John Day Fossil Beds National Monument,John Day Fossil Beds
John Fitzgerald Kennedy National Historic Site,John Fitzgerald Kennedy
John Muir National Historic Site,John Muir
Johnstown Flood National Memorial,Johnstown Flood
Joshua Tree National Park,Joshua Tree
Juan Bautista de Anza National Historic Trail,Juan Bautista de Anza
Kalaupapa National Historical Park,Kalaupapa
Kaloko-Honokōhau National Historical Park,Kaloko-Honokōhau
Katahdin Woods and Waters National Monument,Katahdin Woods and Waters
Katmai National Park & Preserve,Katmai
Kenai Fjords National Park,Kenai Fjords
Kenilworth Park & Aquatic Gardens,Kenilworth Park & Aquatic Gardens
Kennesaw Mountain National Battlefield Park,Kennesaw Mountain Park
Keweenaw National Historical Park,Keweenaw
Kings Mountain National Military Park,Kings Mountain
Klondike Gold Rush - Seattle Unit National Historical Park,Klondike Gold Rush Seattle
Klondike Gold Rush National Historical Park,Klondike Gold Rush
Knife River Indian Villages National Historic Site,Knife River Indian Villages
Kobuk Valley National Park,Kobuk Valley
Korean War Veterans Memorial,Korean War Veterans Memorial
LBJ Memorial Grove on the Potomac,LBJ Memorial
Lake Clark National Park & Preserve,Lake Clark
Lake Mead National Recreation Area,Lake Mead
Lake Meredith National Recreation Area,Lake Meredith
Lake Roosevelt National Recreation Area,Lake Roosevelt
Lassen Volcanic National Park,Lassen Volcanic
Lava Beds National Monument,Lava Beds
Lewis & Clark National Historic Trail,Lewis & Clark Trail
Lewis and Clark National Historical Park,Lewis and Clark Park
Lincoln Boyhood National Memorial,Lincoln Boyhood
Lincoln Home National Historic Site,Lincoln Home
Lincoln Memorial,Lincoln Memorial
Little Bighorn Battlefield National Monument,Little Bighorn Battlefield
Little River Canyon National Preserve,Little River Canyon
Little Rock Central High School National Historic Site,Little Rock Central High School
Longfellow House Washington's Headquarters National Historic Site,Longfellow House Washington's Headquarters
Lowell National Historical Park,Lowell
Lower Delaware National Wild and Scenic River,Lower Delaware
Lower East Side Tenement Museum National Historic Site,Lower East Side Tenement Museum
Lyndon B Johnson National Historical Park,Lyndon B Johnson
Maggie L Walker National Historic Site,Maggie L Walker
Maine Acadian Culture,Maine Acadian Culture
Mammoth Cave National Park,Mammoth Caves
Manassas National Battlefield Park,Manassas Park
Manhattan Project National Historical Park,Manhattan Project
Manzanar National Historic Site,Manzanar
Marsh - Billings - Rockefeller National Historical Park,Marsh - Billings - Rockefeller
"Martin Luther King, Jr. Memorial","Martin Luther King, Jr. Memorial"
"Martin Luther King, Jr. National Historical Park","Martin Luther King, Jr."
Martin Van Buren National Historic Site,Martin Van Buren
Mary McLeod Bethune Council House National Historic Site,Mary McLeod Bethune Council House
Medgar and Myrlie Evers Home National Monument,Medgar and Myrlie Evers Home
Mesa Verde National Park,Mesa Verde
Mill Springs Battlefield National Monument,Mill Springs Battlefield
Minidoka National Historic Site,Minidoka
Minute Man National Historical Park,Minute Man
Minuteman Missile National Historic Site,Minuteman Missile
Mississippi National River & Recreation Area,Mississippi River
Missouri National Recreational River,Missouri National Recreational River
Mojave National Preserve,Mojave National Preserve
Monocacy National Battlefield,Monocacy
Montezuma Castle National Monument,Montezuma Castle
Moores Creek National Battlefield,Moores Creek
Mormon Pioneer National Historic Trail,Mormon Pioneer
Morristown National Historical Park,Morristown
Mount Rainier National Park,Mount Rainier
Mount Rushmore National Memorial,Mount Rushmore
Muir Woods National Monument,Muir Woods
Natchez National Historical Park,Natchez
Natchez Trace National Scenic Trail,Natchez Trace Trail
Natchez Trace Parkway,Natchez Trace Parkway
National Capital Parks-East,National Capital Parks-East
National Mall and Memorial Parks,National Mall and Memorial Parks
National Park of American Samoa,National Park of American Samoa
National Parks of New York Harbor,National Parks of New York Harbor
Natural Bridges National Monument,Natural Bridges
Navajo National Monument,Navajo
New Bedford Whaling National Historical Park,New Bedford Whaling
New England National Scenic Trail,New England Trail
New Jersey Pinelands National Reserve,New Jersey Pinelands
New Orleans Jazz National Historical Park,New Orleans Jazz
New Philadelphia National Historic Site,New Philadelphia
New River Gorge National Park & Preserve,New River Gorge
Nez Perce National Historical Park,Nez Perce
Nicodemus National Historic Site,Nicodemus
Ninety Six National Historic Site,Ninety Six
Niobrara National Scenic River,Niobrara
Noatak National Preserve,Noatak
North Cascades National Park,North Cascades
North Country National Scenic Trail,North Country
Obed Wild & Scenic River,Obed Wild & Scenic River
Ocmulgee Mounds National Historical Park,Ocmulgee Mounds
Oklahoma City National Memorial,Oklahoma City
Old Spanish National Historic Trail,Old Spanish
Olympic National Park,Olympic
Oregon Caves National Monument & Preserve,Oregon Caves
Oregon National Historic Trail,Oregon
Organ Pipe Cactus National Monument,Organ Pipe Cactus
Overmountain Victory National Historic Trail,Overmountain Victory
Oxon Cove Park & Oxon Hill Farm,Oxon Cove Park & Oxon Hill Farm
Ozark National Scenic Riverways,Ozark
Padre Island National Seashore,Padre Island
Palo Alto Battlefield National Historical Park,Palo Alto Battlefield
Paterson Great Falls National Historical Park,Paterson Great Falls
Pea Ridge National Military Park,Pea Ridge
Pearl Harbor National Memorial,Pearl Harbor
Pecos National Historical Park,Pecos
Pennsylvania Avenue,Pennsylvania Avenue
Perry's Victory & International Peace Memorial,Perry's Victory & International Peace Memorial
Petersburg National Battlefield,Petersburg
Petrified Forest National Park,Petrified Forest
Petroglyph National Monument,Petroglyph
Pictured Rocks National Lakeshore,Pictured Rocks
Pinnacles National Park,Pinnacles
Pipe Spring National Monument,Pipe Spring
Pipestone National Monument,Pipestone
Piscataway Park,Piscataway Park
Point Reyes National Seashore,Point Reyes
Pony Express National Historic Trail,Pony Express
Port Chicago Naval Magazine National Memorial,Port Chicago Naval Magazine
Potomac Heritage National Scenic Trail,Potomac Heritage
Poverty Point National Monument,Poverty Point
President William Jefferson Clinton Birthplace Home National Historic Site,William Jefferson Home
Presidio of San Francisco,Presidio of San Francisco
Prince William Forest Park,Prince William Forest Park
Pullman National Historical Park,Pullman
Puʻuhonua o Hōnaunau National Historical Park,Puʻuhonua o Hōnaunau
Puʻukoholā Heiau National Historic Site,Puʻukoholā Heiau
Rainbow Bridge National Monument,Rainbow Bridge
Reconstruction Era National Historical Park,Reconstruction Era
Redwood National and State Parks,Redwood
Richmond National Battlefield Park,Richmond Park
Rio Grande Wild & Scenic River,Rio Grande Wild & Scenic River
River Raisin National Battlefield Park,River Raisin Park
Rock Creek Park,Rock Creek Park
Rocky Mountain National Park,Rocky Mountain
Roger Williams National Memorial,Roger Williams
Roosevelt Campobello International Park,Roosevelt Campobello
Rosie the Riveter WWII Home Front National Historical Park,Rosie the Riveter WWII Home Front
Russell Cave National Monument,Russell Cave
Sagamore Hill National Historic Site,Sagamore Hill
Saguaro National Park,Saguaro
Saint Croix Island International Historic Site,Saint Croix Island
Saint Croix National Scenic Riverway,Saint Croix Riverway
Saint Paul's Church National Historic Site,Saint Paul's Church
Saint-Gaudens National Historical Park,Saint-Gaudens
Salem Maritime National Historic Site,Salem Maritime
Salinas Pueblo Missions National Monument,Salinas Pueblo Missions
Salt River Bay National Historical Park and Ecological Preserve,Salt River Bay
San Antonio Missions National Historical Park,San Antonio Missions
San Francisco Maritime National Historical Park,San Francisco Maritime
San Juan Island National Historical Park,San Juan Island
San Juan National Historic Site,San Juan
Sand Creek Massacre National Historic Site,Sand Creek Massacre
Santa Fe National Historic Trail,Santa Fe
Santa Monica Mountains National Recreation Area,Santa Monica Mountains
Saratoga National Historical Park,Saratoga
Saugus Iron Works National Historic Site,Saugus Iron Works
Scotts Bluff National Monument,Scotts Bluff
Selma To Montgomery National Historic Trail,Selma To Montgomery
Sequoia & Kings Canyon National Parks,Sequoia
Shenandoah National Park,Shenandoah
Shiloh National Military Park,Shiloh
Sitka National Historical Park,Sitka
Sleeping Bear Dunes National Lakeshore,Sleeping Bear Dunes
Springfield Armory National Historic Site,Springfield Armory
Star-Spangled Banner National Historic Trail,Star-Spangled Banner
Statue Of Liberty National Monument,Statue Of Liberty
Ste. Geneviève National Historical Park,Ste. Geneviève
Steamtown National Historic Site,Steamtown
Stones River National Battlefield,Stones River
Stonewall National Monument,Stonewall
Sunset Crater Volcano National Monument,Sunset Crater Volcano
Tallgrass Prairie National Preserve,Tallgrass Prairie
Thaddeus Kosciuszko National Memorial,Thaddeus Kosciuszko
The White House and President's Park,The White House Park
Theodore Roosevelt Birthplace National Historic Site,Theodore Roosevelt Birthplace
Theodore Roosevelt Inaugural National Historic Site,Theodore Roosevelt Inaugural
Theodore Roosevelt Island,Theodore Roosevelt Island
Theodore Roosevelt National Park,Theodore Roosevelt
Thomas Cole National Historic Site,Thomas Cole
Thomas Edison National Historical Park,Thomas Edison
Thomas Jefferson Memorial,Thomas Jefferson
Thomas Stone National Historic Site,Thomas Stone
Timpanogos Cave National Monument,Timpanogos
Timucuan Ecological & Historic Preserve,Timucuan
Tonto National Monument,Tonto
Touro Synagogue National Historic Site,Touro Synagogue
Trail Of Tears National Historic Trail,Trail Of Tears
Tule Lake National Monument,Tule Lake
Tule Springs Fossil Beds National Monument,Tule Springs Fossil
Tumacácori National Historical Park,Tumacácori
Tupelo National Battlefield,Tupelo
Tuskegee Airmen National Historic Site,Tuskegee Airmen
Tuskegee Institute National Historic Site,Tuskegee Institute
Tuzigoot National Monument,Tuzigoot
Ulysses S Grant National Historic Site,Ulysses S Grant
Upper Delaware Scenic & Recreational River,Upper Delaware
Valles Caldera National Preserve,Valles Caldera
Valley Forge National Historical Park,Valley Forge
Vanderbilt Mansion National Historic Site,Vanderbilt
Vicksburg National Military Park,Vicksburg
Vietnam Veterans Memorial,Vietnam Veterans
Virgin Islands Coral Reef National Monument,Virgin Islands Coral Reef
Virgin Islands National Park,Virgin Islands
Voyageurs National Park,Voyageurs
Waco Mammoth National Monument,Waco Mammoth
Walnut Canyon National Monument,Walnut Canyon
War In The Pacific National Historical Park,War In The Pacific
Washington Monument,Washington Monument
Washington-Rochambeau Revolutionary Route National Historic Trail,Washington-Rochambeau
Washita Battlefield National Historic Site,Washita
Weir Farm National Historical Park,Weir Farm
Whiskeytown National Recreation Area,Whiskeytown
White Sands National Park,White Sands
Whitman Mission National Historic Site,Whitman Mission
William Howard Taft National Historic Site,William Howard Taft
Wilson's Creek National Battlefield,Wilson's Creek
Wind Cave National Park,Wind Cave
Wing Luke Museum Affiliated Area,Wing Luke
Wolf Trap National Park for the Performing Arts,Wolf Trap
Women's Rights National Historical Park,Women's Rights
World War I Memorial,World War I Memorial
World War II Memorial,World War II Memorial
Wrangell - St Elias National Park & Preserve,Wrangell
Wright Brothers National Memorial,Wright Brothers
Wupatki National Monument,Wupatki
Yellowstone National Park,Yellowstone
Yorktown Battlefield Part of Colonial National Historical Park,Yorktown
Yosemite National Park,Yosemite
Yucca House National Monument,Yucca House
Yukon - Charley Rivers National Preserve,Yukon
Zion National Park,Zion
